Airport City,Centroid,REP,TripOrder
"Chicago-Naperville-Elgin, IL-IN-WI Metro","{ ""type"": ""Point"", ""coordinates"": [ -87.962153, 41.702848 ] }",Scott,2
"Baltimore-Columbia-Towson, MD Metro","{ ""type"": ""Point"", ""coordinates"": [ -76.580825, 39.339686 ] }",Scott,3
"Lincoln, NE Metro","{ ""type"": ""Point"", ""coordinates"": [ -96.870816, 40.819919 ] }",Scott,4
"Fargo, ND-MN Metro","{ ""type"": ""Point"", ""coordinates"": [ -96.965552, 46.917820 ] }",Scott,5
"Sioux Falls, SD Metro","{ ""type"": ""Point"", ""coordinates"": [ -96.990074, 43.499717 ] }",Scott,6
"Morgantown, WV Metro","{ ""type"": ""Point"", ""coordinates"": [ -79.804105, 39.527107 ] }",Scott,7
"Dover, DE Metro","{ ""type"": ""Point"", ""coordinates"": [ -75.568385, 39.086100 ] }",Steve,1
"Cedar Rapids, IA Metro","{ ""type"": ""Point"", ""coordinates"": [ -91.630879, 42.091532 ] }",Steve,2
"Detroit-Warren-Dearborn, MI Metro","{ ""type"": ""Point"", ""coordinates"": [ -83.236738, 42.721871 ] }",Steve,3
"Manchester-Nashua, NH Metro","{ ""type"": ""Point"", ""coordinates"": [ -71.716636, 42.915407 ] }",Steve,4
"Oklahoma City, OK Metro","{ ""type"": ""Point"", ""coordinates"": [ -97.503812, 35.429885 ] }",Steve,5
"Dallas-Fort Worth-Arlington, TX Metro","{ ""type"": ""Point"", ""coordinates"": [ -97.028989, 32.817835 ] }",Steve,6
"Cheyenne, WY Metro","{ ""type"": ""Point"", ""coordinates"": [ -104.689616, 41.307065 ] }",Steve,7
